response_id,age,gender,years_at_company,job_role,monthly_income,performance_rating,promotions_count,overtime,distance_from_home,education_level,marital_status,dependents_count,job_level,company_size,company_tenure,remote_work,leadership_opportunities,innovation_opportunities,company_reputation,employee_recognition,exit_status,wlf2,js2
8410,31,1,19,0,5390.0,0,2,0,22,0,1,0.0,1,1,89.0,0,0,0,0,2,1,0,2
64756,59,0,4,3,5534.0,3,3,0,21,3,0,3.0,1,1,21.0,0,0,0,1,1,1,3,1
30257,24,0,10,2,8159.0,3,0,0,11,1,1,3.0,1,1,74.0,0,0,0,3,1,1,1,1
65791,36,0,7,0,3989.0,2,1,0,27,2,2,2.0,1,2,50.0,1,0,0,2,2,1,1,1
65026,56,1,41,0,4821.0,0,0,1,71,2,0,0.0,2,1,68.0,0,0,0,1,2,1,1,1
24368,38,0,3,4,9977.0,1,3,0,37,1,1,0.0,1,1,47.0,0,0,1,1,0,0,2,1
36999,48,1,16,1,11223.0,2,2,0,5,3,1,4.0,0,1,88.0,0,0,0,0,1,1,0,0
32714,57,1,44,0,3773.0,2,1,1,39,2,1,4.0,0,1,75.0,0,0,0,1,2,1,1,2
15944,24,0,1,2,7319.0,0,1,1,57,4,2,4.0,0,0,45.0,0,0,1,2,1,0,3,1
29972,30,0,12,0,5443.0,0,1,0,51,2,2,1.0,0,2,17.0,0,0,0,2,2,0,1,1
9063,29,0,6,2,8950.0,3,2,0,26,3,2,0.0,1,1,38.0,0,0,0,3,2,0,3,2
21896,47,0,38,4,9039.0,2,1,0,78,0,1,0.0,0,2,68.0,0,0,0,2,1,0,2,0
28098,31,1,22,2,8090.0,2,4,1,30,0,0,2.0,1,2,84.0,0,0,0,2,2,1,2,2
22068,40,0,30,4,6350.0,0,0,0,98,2,2,0.0,2,0,96.0,0,0,0,2,0,1,1,1
17696,40,0,4,1,5176.0,0,0,0,48,2,2,0.0,0,2,21.0,1,0,0,2,0,0,3,1
55668,19,0,9,4,8242.0,0,2,1,17,2,2,3.0,1,2,63.0,0,0,0,1,0,0,0,2
19288,33,0,1,1,8733.0,1,1,1,86,2,2,0.0,1,2,19.0,0,0,0,2,1,1,1,1
17034,49,0,37,3,6252.0,2,2,0,60,1,0,4.0,2,1,70.0,0,0,0,2,0,1,2,1
9697,29,1,9,2,7538.0,0,0,0,10,1,1,0.0,2,2,76.0,0,0,0,2,0,1,2,2
17209,51,0,41,1,8733.0,0,2,1,18,3,0,3.0,1,2,72.0,0,0,0,2,0,1,1,1
45399,57,0,33,2,8201.0,0,0,0,95,4,1,1.0,1,1,95.0,0,0,0,1,2,1,1,0
58984,39,0,1,1,8079.0,2,1,0,23,3,2,0.0,0,1,20.0,0,0,0,3,1,0,0,1
24208,36,1,13,3,5874.0,0,0,0,16,2,2,1.0,1,1,40.0,0,0,0,2,0,0,2,1
14291,54,1,5,0,4656.0,0,0,1,63,2,2,0.0,1,1,60.0,0,0,0,2,1,0,1,2
20748,48,1,9,0,4987.0,0,1,0,92,0,0,0.0,0,1,23.0,0,0,1,2,2,0,2,1
13394,23,1,13,4,12507.0,2,0,0,86,2,2,1.0,1,1,83.0,0,0,1,2,1,1,2,1
65251,45,0,21,2,7571.0,0,1,1,30,0,1,1.0,0,2,67.0,1,0,0,1,2,1,1,0
6885,48,1,32,0,3535.0,0,0,1,48,1,1,0.0,2,1,84.0,0,0,0,2,1,1,1,2
68576,45,0,34,1,8330.0,0,0,1,58,1,1,4.0,1,1,91.0,1,0,0,2,0,1,0,1
69149,24,1,11,2,6334.0,0,0,1,55,1,0,2.0,2,2,28.0,0,0,1,2,2,1,1,1
61864,42,1,1,4,8874.0,0,1,0,31,0,0,2.0,0,2,27.0,0,0,0,3,3,1,1,2
29641,53,1,44,2,7364.0,0,1,0,92,0,1,0.0,1,2,55.0,0,1,0,2,0,0,3,2
65586,39,1,22,1,5556.0,0,0,0,16,0,1,0.0,0,1,28.0,0,0,0,0,1,0,1,1
12259,31,1,18,3,5105.0,0,2,0,82,1,2,2.0,2,2,46.0,0,0,1,0,3,0,3,3
8881,37,1,9,2,8632.0,0,2,0,8,3,0,2.0,2,1,86.0,1,0,0,3,0,1,2,1
17543,45,0,27,3,5315.0,0,2,1,74,0,1,4.0,0,2,70.0,0,0,1,3,1,1,1,1
74472,57,0,23,3,5938.0,0,2,1,3,3,0,3.0,1,1,47.0,0,0,0,2,2,1,0,0
64075,42,0,2,3,6213.0,0,0,0,5,1,2,4.0,0,2,69.0,0,0,0,2,2,0,1,1
54804,31,0,17,3,5956.0,0,0,0,76,1,0,4.0,0,2,27.0,0,0,0,2,1,0,1,1
24350,56,0,22,3,6605.0,1,2,1,47,1,1,2.0,1,1,74.0,0,0,0,2,1,1,0,1
72189,34,1,12,1,8274.0,1,0,1,67,1,2,1.0,0,1,36.0,0,0,0,3,1,0,1,0
36437,56,1,7,4,9878.0,0,2,0,58,3,2,1.0,0,2,22.0,0,0,0,2,1,0,1,0
34857,47,0,36,4,8442.0,2,1,0,84,0,2,0.0,0,1,67.0,1,0,0,3,1,0,2,3
26304,25,0,2,2,6690.0,2,0,1,14,0,1,2.0,0,1,25.0,1,0,0,2,2,1,2,3
33177,25,0,3,2,8397.0,1,0,1,36,1,1,3.0,0,2,49.0,1,0,0,3,1,1,0,1
70003,36,1,8,4,9775.0,0,1,1,79,1,2,1.0,1,1,61.0,0,0,1,2,0,0,2,1
63046,41,1,28,3,5586.0,0,0,0,52,0,1,0.0,0,2,103.0,0,0,0,2,2,1,1,1
30924,55,0,6,2,9355.0,0,0,1,44,1,1,3.0,2,2,64.0,0,0,1,3,0,0,2,0
5254,48,0,18,4,7976.0,2,0,1,32,2,2,2.0,1,2,71.0,0,0,0,2,2,0,2,1
33430,21,1,11,3,6356.0,0,0,0,89,0,1,0.0,2,1,12.0,0,0,0,2,0,1,3,1
67450,34,1,21,3,5967.0,0,1,0,39,1,1,0.0,1,2,39.0,1,0,0,2,2,1,2,3
54104,26,1,3,1,8673.0,0,0,0,64,0,2,1.0,0,0,57.0,0,0,1,2,2,0,0,1
18361,47,1,22,0,5040.0,3,3,1,7,2,1,0.0,1,1,58.0,1,0,0,2,1,1,2,0
4098,30,0,22,4,9894.0,0,1,0,87,0,2,2.0,0,2,65.0,1,0,0,0,2,0,3,3
27742,24,1,13,4,6785.0,0,0,0,24,1,2,3.0,2,2,57.0,0,0,1,1,0,0,1,1
1591,23,0,2,1,7368.0,1,0,0,15,3,1,3.0,2,2,17.0,0,0,1,2,0,1,2,0
27451,52,1,34,3,5154.0,0,0,1,16,2,2,2.0,1,2,83.0,0,0,0,1,2,0,2,2
58305,51,1,16,2,8407.0,0,1,0,63,1,2,1.0,0,2,66.0,0,0,0,2,1,0,1,0
19684,50,1,21,0,4195.0,0,2,1,76,1,1,2.0,0,2,100.0,1,0,0,2,3,1,1,1
9392,45,1,6,0,4451.0,0,0,0,81,2,1,2.0,0,0,65.0,0,0,0,1,2,1,2,1
18598,31,0,11,4,10122.0,0,2,0,58,1,1,0.0,2,2,62.0,1,0,0,3,1,1,2,1
70231,50,1,35,1,7303.0,1,1,1,48,2,1,1.0,0,1,84.0,1,0,1,3,0,1,1,1
65665,29,1,8,1,7946.0,0,0,0,75,0,2,1.0,1,1,17.0,0,1,0,3,0,0,3,0
64242,27,1,14,1,6026.0,1,0,1,30,1,2,2.0,1,0,20.0,0,0,0,2,0,0,3,1
23287,48,1,1,4,10135.0,3,0,1,13,1,2,3.0,0,2,72.0,0,0,0,2,2,0,3,1
12556,47,1,24,2,8631.0,2,0,0,35,1,1,3.0,2,1,89.0,0,0,0,3,1,1,2,0
31457,53,0,2,0,3598.0,0,0,1,98,0,2,1.0,0,0,69.0,0,0,1,1,2,0,1,1
14169,37,0,2,2,7949.0,0,0,0,95,2,1,5.0,0,0,6.0,1,0,0,0,1,1,0,2
43193,21,0,10,2,7967.0,0,0,0,44,3,2,1.0,2,0,64.0,0,0,0,1,0,1,2,1
67257,53,0,23,2,8876.0,0,2,1,68,2,1,3.0,0,1,78.0,0,0,1,2,0,0,2,3
52985,45,0,28,3,6628.0,0,0,1,56,1,1,3.0,2,1,30.0,0,0,0,1,1,0,1,1
31826,49,1,9,2,8340.0,2,1,0,73,1,2,0.0,0,0,77.0,0,0,0,1,1,0,1,1
64500,37,1,22,1,10080.0,0,0,0,21,1,1,1.0,1,1,69.0,0,0,0,2,2,0,3,1
24841,39,1,9,1,8860.0,1,0,1,26,1,1,1.0,1,1,61.0,0,0,0,1,2,0,1,2
62882,27,1,17,3,5678.0,0,2,0,41,1,1,2.0,1,1,54.0,0,0,0,2,1,1,2,1
9870,49,0,2,0,4042.0,1,0,0,29,0,0,2.0,0,1,58.0,0,0,0,2,0,0,1,1
6688,54,1,24,4,9737.0,1,0,0,8,1,1,0.0,0,1,88.0,1,0,0,1,1,1,3,2
3625,38,1,18,0,5246.0,2,0,1,84,3,0,2.0,1,1,20.0,0,0,0,2,1,0,1,1
66157,19,0,1,1,10141.0,0,1,0,19,1,2,1.0,0,0,41.0,0,0,1,1,2,0,1,1
46550,43,1,34,4,9033.0,1,1,0,50,2,1,1.0,0,1,97.0,0,0,0,3,2,1,1,1
26078,31,1,19,2,6135.0,2,0,0,41,4,2,0.0,0,1,88.0,0,0,0,2,2,1,1,1
13319,47,1,28,2,7063.0,1,0,0,62,0,1,0.0,2,1,49.0,0,0,1,2,2,1,3,0
65739,58,0,40,3,6940.0,2,0,0,49,1,1,1.0,2,0,67.0,1,0,0,3,2,1,1,1
43732,40,1,17,0,4733.0,1,1,0,69,4,1,4.0,0,2,60.0,0,0,0,0,2,1,3,1
45545,35,1,17,2,7625.0,2,0,0,26,1,1,0.0,1,0,31.0,0,0,0,2,0,1,1,1
72101,31,0,2,4,6640.0,0,0,0,13,0,0,4.0,2,0,33.0,0,0,1,2,0,1,2,2
46992,31,1,8,4,7287.0,2,2,1,33,3,2,0.0,0,2,69.0,0,0,1,0,2,1,0,2
54577,40,1,5,2,6993.0,0,0,1,57,2,2,0.0,0,0,75.0,0,0,0,1,1,0,2,2
41178,33,0,1,1,6534.0,0,1,0,21,3,2,4.0,0,2,12.0,0,0,0,2,2,0,2,3
17004,52,1,15,2,7529.0,0,0,0,61,1,1,5.0,0,0,34.0,0,0,0,2,3,1,1,2
18068,51,1,12,1,4421.0,0,1,0,62,3,2,0.0,0,1,14.0,1,0,0,2,0,1,1,1
19252,27,0,11,4,9197.0,2,0,1,53,2,1,2.0,2,0,35.0,0,0,0,2,2,1,1,1
65212,58,1,6,2,8762.0,2,0,1,72,1,1,0.0,0,2,38.0,0,0,0,2,2,0,2,1
36263,42,0,7,4,8744.0,2,1,1,41,2,2,3.0,0,2,71.0,1,0,1,2,2,0,1,2
23691,26,1,3,2,7406.0,3,3,0,91,0,1,0.0,0,1,57.0,1,0,0,3,1,0,1,3
20242,37,0,7,3,6099.0,2,0,0,19,1,1,0.0,2,2,16.0,1,0,0,0,1,1,1,1
52881,55,1,13,4,9626.0,0,2,0,27,1,2,0.0,2,2,81.0,0,0,1,2,0,1,1,1
32705,46,0,6,4,10298.0,0,0,0,47,1,2,0.0,0,1,84.0,0,0,0,1,1,0,2,1
71450,41,1,2,4,8972.0,0,1,0,76,3,0,1.0,1,0,72.0,0,0,1,0,1,0,1,0
29475,58,0,14,4,9501.0,0,1,1,56,1,2,4.0,0,0,52.0,0,0,0,3,2,0,2,2
34465,40,0,22,0,4023.0,3,0,0,58,3,1,4.0,0,1,55.0,0,1,0,2,2,0,1,0
47934,45,1,9,0,6437.0,2,1,0,53,0,1,4.0,1,1,31.0,0,0,0,3,2,0,2,1
71441,56,1,32,2,6690.0,2,1,0,35,2,1,1.0,0,2,80.0,0,0,0,1,1,1,0,2
63893,23,1,11,4,7038.0,0,0,0,74,0,1,0.0,0,0,55.0,0,0,0,1,1,0,1,2
38110,48,0,19,4,8761.0,1,0,0,75,2,1,3.0,0,1,90.0,1,0,0,3,3,1,1,1
70639,47,1,24,3,5428.0,0,0,1,93,0,0,1.0,0,1,49.0,0,0,0,2,2,1,0,3
8021,26,0,8,2,7859.0,0,4,0,44,2,1,5.0,2,2,35.0,0,0,0,2,1,1,1,2
28368,21,1,4,4,10298.0,0,2,0,28,2,2,0.0,2,1,53.0,0,0,0,1,1,0,1,1
575,44,1,13,2,7430.0,0,1,1,23,0,1,3.0,1,1,73.0,0,0,0,2,1,1,1,3
49959,24,1,2,0,4573.0,2,2,1,37,1,1,0.0,2,2,62.0,0,0,0,2,2,1,2,1
72401,31,1,13,4,9434.0,1,0,0,76,1,1,0.0,1,1,83.0,1,0,0,1,1,1,1,0
24980,45,0,24,1,4583.0,2,2,1,55,0,1,1.0,1,1,62.0,0,0,0,2,2,0,0,0
11385,19,1,3,2,7979.0,3,1,1,46,2,1,2.0,0,1,27.0,0,0,1,1,2,0,2,2
14265,50,1,35,3,5316.0,0,2,0,21,1,1,0.0,1,1,80.0,1,0,0,2,2,1,2,1
370,59,1,45,4,10030.0,0,2,0,64,2,1,3.0,1,0,52.0,0,0,0,3,1,0,1,3
25774,54,1,2,2,8736.0,0,0,1,86,0,2,1.0,0,2,5.0,0,0,0,3,1,0,1,0
53105,58,0,39,2,6929.0,2,0,0,56,0,1,3.0,0,0,76.0,0,1,1,3,0,0,2,1
40919,21,1,2,2,10167.0,2,0,1,54,0,1,2.0,1,1,65.0,0,0,0,1,2,0,2,1
63135,51,1,16,2,9063.0,0,0,0,9,0,2,1.0,1,2,90.0,0,0,1,2,1,0,3,0
65852,45,0,20,2,8926.0,0,4,0,89,2,2,1.0,2,2,80.0,1,0,0,2,2,1,0,1
32413,30,0,15,0,3204.0,3,0,0,45,1,0,1.0,2,2,94.0,0,1,0,0,1,1,1,1
71343,29,0,11,1,9306.0,0,0,0,51,3,2,2.0,0,0,45.0,0,0,0,0,1,0,2,1
27498,59,1,43,0,4862.0,0,0,0,28,0,1,1.0,1,2,119.0,0,0,0,2,0,1,1,3
57482,35,0,26,4,7576.0,3,4,0,81,2,1,5.0,1,2,53.0,0,0,1,2,1,1,0,1
38163,40,0,29,1,11735.0,0,3,0,87,0,0,3.0,0,2,56.0,0,0,0,1,2,1,2,1
55188,20,1,2,3,6453.0,0,0,0,51,0,1,0.0,0,2,62.0,0,0,0,2,0,1,0,2
43292,50,1,18,4,7359.0,2,1,0,67,0,0,2.0,0,1,63.0,0,0,0,2,1,0,1,1
72087,44,1,35,2,7838.0,0,1,0,19,0,1,4.0,2,2,53.0,0,0,0,0,0,1,2,1
23689,20,0,3,4,10943.0,1,0,0,62,0,2,0.0,0,1,15.0,0,0,0,1,2,0,3,1
41073,28,1,20,1,10513.0,0,0,0,73,1,1,1.0,1,1,94.0,0,1,0,3,2,1,1,1
24229,28,1,6,2,6669.0,2,0,0,39,4,2,3.0,1,0,41.0,0,0,0,3,1,0,1,0
26101,36,1,17,4,8309.0,0,2,1,24,0,2,0.0,1,0,89.0,0,0,0,2,1,1,1,1
70389,56,0,46,2,8423.0,2,0,0,96,3,2,3.0,0,1,118.0,0,0,0,1,2,0,1,1
13011,47,1,1,4,8723.0,2,2,0,73,2,1,1.0,2,2,32.0,0,0,0,1,1,1,1,0
1115,18,0,7,4,8546.0,2,0,1,94,2,2,1.0,2,2,64.0,1,0,0,1,0,0,3,0
68988,22,0,13,3,5797.0,1,0,0,78,4,1,4.0,0,2,49.0,1,0,0,2,2,1,0,0
36546,52,1,19,0,3625.0,0,1,0,54,2,1,2.0,1,2,32.0,0,0,0,2,1,1,2,1
12809,44,1,36,1,8048.0,0,2,0,72,2,2,3.0,1,1,57.0,1,0,0,1,2,0,2,0
46298,42,1,26,0,4205.0,0,1,0,89,3,2,3.0,2,1,39.0,0,0,0,1,0,1,1,1
37508,53,1,41,0,4373.0,0,2,1,91,3,1,4.0,1,1,53.0,0,0,0,3,2,0,2,1
51580,22,1,2,1,6925.0,0,1,0,79,0,1,2.0,2,1,73.0,1,0,0,1,2,1,0,1
43465,50,1,38,2,8299.0,3,0,0,28,1,2,0.0,1,0,59.0,0,0,0,1,0,0,2,3
36678,56,0,40,4,11556.0,0,2,0,1,4,2,2.0,1,2,66.0,0,0,0,0,2,1,1,2
41684,42,1,10,3,5820.0,2,1,1,86,2,2,2.0,2,2,82.0,0,0,1,0,0,0,2,0
70584,18,1,6,4,7631.0,1,0,0,1,3,2,3.0,0,1,69.0,0,0,0,2,1,0,2,3
19528,39,1,3,3,5891.0,0,2,1,88,2,0,4.0,1,2,9.0,0,0,0,2,2,0,1,3
69121,22,0,9,1,8376.0,1,3,0,46,2,2,1.0,1,1,11.0,0,0,0,2,2,0,2,1
18487,28,1,3,3,6185.0,0,0,0,51,0,1,0.0,1,1,62.0,0,0,1,1,1,0,2,1
20960,47,0,13,2,6467.0,1,2,0,25,1,0,2.0,0,1,82.0,0,0,0,3,0,0,1,1
4392,56,0,6,1,6954.0,0,1,0,65,1,1,2.0,0,2,17.0,1,0,0,2,2,0,1,1
6112,51,0,33,4,7647.0,0,1,1,6,2,1,1.0,1,2,44.0,0,0,0,1,1,0,1,3
40908,55,0,43,2,7440.0,2,0,1,1,2,1,0.0,0,2,97.0,1,0,0,2,2,0,3,2
53019,56,1,38,2,8883.0,0,0,0,69,3,0,3.0,1,1,100.0,0,0,0,1,1,0,3,3
19879,24,1,8,0,5652.0,2,0,0,76,2,1,1.0,2,2,23.0,0,0,0,1,2,1,1,1
63588,26,1,5,1,7376.0,0,0,0,70,1,1,1.0,2,0,33.0,0,0,1,3,1,0,2,1
58518,52,1,26,4,7306.0,0,0,1,19,2,2,3.0,0,2,35.0,1,0,0,1,1,1,1,3
62060,54,1,42,1,10006.0,1,0,0,75,3,1,1.0,2,2,93.0,0,0,0,2,2,1,1,1
1127,45,1,6,4,11421.0,0,1,0,18,1,0,4.0,1,2,27.0,1,0,1,2,1,1,3,1
59154,20,1,9,2,8161.0,0,0,0,86,1,2,2.0,1,1,35.0,0,0,0,2,2,0,1,3
8386,51,1,22,3,5405.0,0,1,0,57,3,1,3.0,0,2,27.0,0,0,0,1,2,1,0,2
45849,59,1,32,0,4113.0,2,0,1,48,3,2,3.0,0,1,82.0,0,0,0,2,1,0,0,1
61853,47,1,38,3,6008.0,0,0,0,12,2,1,0.0,1,2,49.0,1,0,0,2,2,1,1,1
