response_id,Predictions
52685,Left
30585,Left
54656,Left
33442,Left
15667,Stayed
3496,Stayed
46775,Left
72645,Left
4941,Stayed
65181,Stayed
49522,Stayed
8195,Stayed
52948,Stayed
35067,Stayed
53650,Left
49803,Stayed
2213,Left
48091,Stayed
49462,Stayed
16073,Stayed
54967,Stayed
35183,Left
455,Stayed
36359,Stayed
36048,Stayed
54081,Stayed
17189,Left
31516,Stayed
3586,Left
49198,Stayed
60686,Stayed
14616,Stayed
12605,Left
27617,Stayed
23602,Left
20883,Stayed
64272,Left
71141,Left
62438,Stayed
55672,Left
18843,Stayed
59459,Left
56488,Left
11062,Stayed
70350,Stayed
25065,Left
59563,Left
6080,Left
65256,Stayed
55816,Stayed
48154,Left
19598,Left
45711,Stayed
31921,Stayed
28968,Left
42658,Left
33024,Left
12971,Stayed
5719,Left
9331,Stayed
64168,Left
20332,Stayed
11169,Stayed
30757,Left
60983,Stayed
26913,Left
7546,Left
67990,Stayed
34301,Left
14321,Stayed
53135,Left
14669,Left
43491,Stayed
54054,Left
7163,Left
26780,Stayed
13903,Left
6649,Stayed
51846,Stayed
26809,Stayed
64951,Left
23719,Stayed
11190,Left
29869,Stayed
42562,Stayed
3032,Stayed
26880,Stayed
47539,Left
4786,Stayed
68000,Stayed
42053,Stayed
54995,Left
1279,Left
13376,Left
13169,Left
33968,Stayed
25662,Stayed
34240,Left
72123,Stayed
11833,Stayed
63405,Left
26938,Stayed
49495,Stayed
13947,Stayed
62520,Stayed
52157,Left
24543,Left
54581,Stayed
1091,Left
33481,Stayed
11336,Stayed
2108,Left
6469,Stayed
66001,Left
39357,Stayed
29600,Stayed
34896,Left
49124,Left
27997,Stayed
31155,Left
38313,Stayed
7135,Left
39553,Stayed
6794,Stayed
14519,Stayed
14011,Stayed
16439,Stayed
6335,Left
19394,Left
71080,Left
60021,Left
44982,Stayed
8899,Left
128,Left
69732,Left
46987,Left
73607,Stayed
45755,Left
1881,Stayed
31115,Left
15295,Left
15968,Stayed
4666,Left
45346,Stayed
17550,Stayed
61929,Left
832,Stayed
10269,Stayed
62491,Stayed
41981,Left
43687,Stayed
41828,Stayed
70755,Stayed
9802,Left
43886,Stayed
69600,Left
66482,Stayed
62883,Stayed
61496,Left
39479,Left
40258,Stayed
46253,Left
36030,Left
67337,Stayed
63733,Stayed
65401,Stayed
44205,Left
17621,Stayed
26677,Left
32453,Left
27160,Stayed
3355,Stayed
63591,Stayed
30940,Left
17316,Stayed
54762,Stayed
45422,Left
21229,Stayed
31471,Stayed
63696,Left
52508,Left
43399,Stayed
25234,Stayed
52082,Left
51526,Stayed
1448,Left
61644,Stayed
62199,Left
44932,Left
12577,Left
6010,Left
64073,Stayed
22751,Stayed
8242,Stayed
72186,Stayed
34340,Stayed
48939,Stayed
68996,Left
24222,Stayed
20691,Left
21750,Stayed
50869,Left
67224,Left
27073,Stayed
45079,Left
22285,Stayed
42992,Left
68339,Left
29539,Left
10792,Left
8611,Left
68083,Left
66525,Left
63058,Stayed
47545,Left
41659,Left
61640,Stayed
68045,Stayed
16937,Stayed
3887,Stayed
411,Stayed
44012,Stayed
61460,Left
6502,Left
550,Stayed
58222,Stayed
74399,Stayed
35388,Left
73312,Stayed
39168,Left
47804,Left
40010,Left
13905,Left
31436,Stayed
65592,Stayed
42685,Left
34175,Left
20796,Stayed
4985,Stayed
66271,Stayed
34253,Left
40806,Stayed
25507,Stayed
48200,Left
44235,Stayed
10619,Left
48496,Left
1604,Stayed
74100,Left
24677,Left
21907,Left
45560,Stayed
10407,Left
27496,Stayed
59803,Left
18658,Left
47111,Left
43850,Stayed
35837,Stayed
39187,Stayed
31448,Stayed
29706,Left
5170,Left
47039,Left
69917,Stayed
47372,Stayed
68950,Stayed
19452,Left
39231,Stayed
14620,Left
65534,Stayed
12054,Stayed
22049,Left
65463,Left
71859,Stayed
72339,Left
73620,Stayed
68295,Left
24974,Stayed
13459,Stayed
1119,Left
22683,Left
12690,Stayed
29982,Left
30647,Stayed
26730,Stayed
71804,Left
45922,Left
53315,Stayed
3841,Stayed
68736,Stayed
27838,Left
8148,Left
1737,Left
47561,Left
71552,Stayed
628,Stayed
30614,Stayed
69721,Stayed
3336,Stayed
39576,Left
14517,Stayed
5856,Left
21096,Stayed
33959,Stayed
67477,Left
51506,Stayed
8401,Left
10174,Stayed
43469,Stayed
10767,Left
61148,Stayed
47101,Left
34252,Stayed
72488,Stayed
15836,Left
23177,Left
61913,Left
15607,Left
38449,Left
52700,Stayed
53989,Left
20476,Stayed
23081,Left
70050,Left
46513,Left
49400,Stayed
66699,Left
56983,Left
20888,Left
62950,Stayed
39788,Left
10063,Stayed
5611,Stayed
31701,Stayed
74016,Stayed
51706,Stayed
61645,Left
4422,Left
68185,Left
41928,Left
4780,Stayed
61488,Stayed
6272,Left
47809,Stayed
45328,Stayed
66735,Stayed
40975,Stayed
21269,Stayed
5396,Left
34952,Left
73470,Stayed
55157,Left
4414,Left
67914,Stayed
51608,Stayed
64134,Left
17437,Stayed
6351,Stayed
64061,Left
38205,Left
6964,Stayed
34223,Left
44837,Stayed
25154,Stayed
53316,Left
40894,Left
32212,Stayed
49209,Stayed
59853,Stayed
52031,Stayed
54131,Left
62311,Left
20428,Stayed
65509,Stayed
19429,Stayed
19657,Left
69186,Left
26234,Left
17643,Left
55006,Left
28047,Stayed
54089,Left
19380,Left
8194,Stayed
61058,Stayed
46239,Stayed
28182,Stayed
66104,Left
42248,Stayed
63340,Left
58239,Stayed
28439,Stayed
1371,Stayed
5498,Left
68570,Stayed
60542,Left
29017,Stayed
67940,Stayed
48208,Left
38036,Stayed
7384,Left
63845,Stayed
70047,Stayed
61283,Left
56649,Left
8689,Left
46757,Stayed
57892,Left
28674,Stayed
58308,Stayed
44477,Stayed
66747,Left
2039,Left
16276,Stayed
53226,Stayed
71744,Left
54302,Stayed
59650,Stayed
14656,Left
49584,Stayed
55278,Stayed
41010,Left
9285,Stayed
14165,Left
35000,Stayed
43434,Stayed
45457,Stayed
65519,Stayed
51729,Stayed
2777,Left
20154,Left
24805,Stayed
7252,Stayed
46908,Left
58921,Stayed
41255,Left
6392,Stayed
10913,Stayed
40244,Left
23498,Left
12797,Left
13952,Stayed
7299,Stayed
51827,Stayed
16114,Left
28237,Stayed
46691,Stayed
40790,Left
47835,Stayed
5786,Stayed
35101,Stayed
52966,Stayed
35427,Stayed
44635,Left
11436,Stayed
27262,Stayed
25297,Stayed
40270,Left
71547,Stayed
11007,Stayed
46107,Left
2196,Stayed
70255,Left
54940,Left
46594,Stayed
63568,Left
17532,Left
12180,Left
49322,Stayed
29439,Stayed
5954,Left
44804,Stayed
7028,Stayed
48351,Stayed
5103,Left
29414,Left
16425,Stayed
43025,Stayed
43459,Left
34353,Stayed
39402,Stayed
15042,Stayed
5147,Stayed
46402,Stayed
7168,Stayed
56244,Stayed
13660,Left
21185,Stayed
58245,Left
69077,Stayed
18776,Left
18501,Stayed
18113,Stayed
43182,Left
9315,Stayed
13854,Left
38501,Stayed
47546,Left
197,Stayed
5119,Stayed
53492,Stayed
41538,Left
5908,Stayed
47537,Left
60919,Left
73586,Stayed
10747,Left
10065,Left
68529,Stayed
43628,Stayed
62894,Left
73323,Left
